name,age,country,value,position,season,team
Michael Cooper,25,England,€2.00m,Goalkeeper,2024,sheffield-united
Adam Davies,32,"Wales, Germany",€500k,Goalkeeper,2024,sheffield-united
Anel Ahmedhodzic,25,"Bosnia-Herzegovina, Sweden",€18.00m,Centre-Back,2024,sheffield-united
Harry Souttar,26,"Australia, Scotland",€7.00m,Centre-Back,2024,sheffield-united
Alfie Gilchrist,20,England,€5.00m,Centre-Back,2024,sheffield-united
Jack Robinson,31,England,€1.00m,Centre-Back,2024,sheffield-united
Harrison Burrows,22,England,€3.20m,Left-Back,2024,sheffield-united
Rhys Norrington-Davies,25,"Wales, Saudi Arabia",€2.50m,Left-Back,2024,sheffield-united
Sam McCallum,24,England,€1.20m,Left-Back,2024,sheffield-united
Jamie Shackleton,25,England,€1.50m,Right-Back,2024,sheffield-united
Femi Seriki,22,"England, Nigeria",€300k,Right-Back,2024,sheffield-united
Sai Sachdev,19,"England, India",€150k,Right-Back,2024,sheffield-united
Vini Souza,25,Brazil,€12.00m,Defensive Midfield,2024,sheffield-united
Gustavo Hamer,27,"Netherlands, Brazil",€15.00m,Central Midfield,2024,sheffield-united
Tom Davies,26,England,€5.00m,Central Midfield,2024,sheffield-united
Andre Brooks,21,"England, Jamaica",€2.50m,Central Midfield,2024,sheffield-united
Ismaila Coulibaly,23,Mali,€1.00m,Central Midfield,2024,sheffield-united
Oliver Arblaster,20,England,€450k,Central Midfield,2024,sheffield-united
Sydie Peck,20,England,€200k,Central Midfield,2024,sheffield-united
Callum O'Hare,26,"England, Ireland",€2.20m,Attacking Midfield,2024,sheffield-united
Jesurun Rak-Sakyi,22,"England, Ghana",€2.00m,Right Winger,2024,sheffield-united
Louie Marsh,20,England,€100k,Second Striker,2024,sheffield-united
Rhian Brewster,24,"England, Barbados",€3.00m,Centre-Forward,2024,sheffield-united
Tyrese Campbell,24,"England, Jamaica",€1.80m,Centre-Forward,2024,sheffield-united
Kieffer Moore,32,"Wales, England",€1.50m,Centre-Forward,2024,sheffield-united
Seny Dieng,30,"Senegal, Switzerland",€2.00m,Goalkeeper,2024,fc-middlesbrough
Tom Glover,26,"Australia, England",€800k,Goalkeeper,2024,fc-middlesbrough
Sol Brynn,24,England,€275k,Goalkeeper,2024,fc-middlesbrough
Dael Fry,27,England,€4.80m,Centre-Back,2024,fc-middlesbrough
Rav van den Berg,20,Netherlands,€4.00m,Centre-Back,2024,fc-middlesbrough
Matt Clarke,28,England,€2.50m,Centre-Back,2024,fc-middlesbrough
Darragh Lenihan,30,Ireland,€2.00m,Centre-Back,2024,fc-middlesbrough
George Edmundson,27,England,€350k,Centre-Back,2024,fc-middlesbrough
Harley Hunt,17,England,€0,Centre-Back,2024,fc-middlesbrough
