player,nation_stats_standard,squad,age_stats_standard,position_stats_standard,playing_time_min_stats_playing_time,playing_time_90s,total_cmp%_stats_passing_per_90,ast_stats_passing_per_90,ppa_stats_passing_per_90,standard_gls_stats_shooting_per_90,standard_sot%_stats_shooting_per_90,sca_sca_stats_gca_per_90,gca_gca_stats_gca_per_90,touches_mid_3rd_stats_possession_per_90,touches_att_3rd_stats_possession_per_90,take_ons_succ_stats_possession_per_90,carries_prgc_stats_possession_per_90,receiving_prgr_stats_possession_per_90,tackles_mid_3rd_stats_defense_per_90,aerial_duels_won%_stats_misc_per_90,performance_crs_stats_misc_per_90,tackles_tkl_stats_defense_per_90,int_stats_defense_per_90,performance_recov_stats_misc_per_90
Ronald,BRA,Swansea City,23,Forward,605.0,6.722222222222222,10.963636363636365,0.5950413223140496,2.5289256198347108,0.1487603305785124,4.254545454545455,6.991735537190083,0.8925619834710744,39.86776859504132,63.37190082644628,4.31404958677686,10.115702479338843,23.801652892561982,2.5289256198347108,4.3884297520661155,8.033057851239668,4.760330578512397,1.487603305785124,9.223140495867769
Joe Rothwell,ENG,Leeds United,29,Midfielder,432.0,4.8,17.791666666666668,0.4166666666666667,1.4583333333333335,0.0,5.208333333333334,10.625,0.4166666666666667,128.95833333333334,52.708333333333336,0.8333333333333334,3.75,3.3333333333333335,1.25,12.8125,17.708333333333336,1.875,2.5,9.375
Pelly Ruddock Mpanzu,COD,Luton Town,31,Midfielder,1614.0,17.933333333333334,3.7193308550185873,0.0,0.055762081784386616,0.0,0.0,0.22304832713754646,0.0,1.5613382899628252,0.8921933085501859,0.055762081784386616,0.11152416356877323,0.11152416356877323,0.0,1.1152416356877324,0.055762081784386616,0.055762081784386616,0.0,0.22304832713754646
Jack Rudoni,ENG,Coventry City,24,Midfielder,646.0,7.177777777777778,10.030959752321982,0.696594427244582,3.343653250773994,0.2786377708978328,4.179566563467492,9.752321981424148,0.8359133126934984,60.88235294117647,67.70897832817337,1.5325077399380804,5.851393188854489,16.021671826625386,1.2538699690402477,8.289473684210526,19.922600619195045,2.9256965944272446,2.089783281733746,8.637770897832818
Nazariy Rusyn,UKR,Sunderland,26,Forward,1710.0,19.0,3.236842105263158,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.42105263157894735,0.631578947368421,0.0,0.10526315789473684,0.21052631578947367,0.05263157894736842,2.1052631578947367,0.05263157894736842,0.10526315789473684,0.0,0.21052631578947367
Koki Saito,JPN,QPR,23,Forward,1485.0,16.5,4.8121212121212125,0.06060606060606061,0.7272727272727273,0.0,1.2787878787878788,2.606060606060606,0.12121212121212122,10.666666666666666,12.121212121212121,1.1515151515151516,2.242424242424242,3.8181818181818183,0.48484848484848486,1.9151515151515153,0.9090909090909091,1.8181818181818181,0.48484848484848486,4.121212121212121
Jeremy Sarmiento,ECU,Burnley,22,Forward,720.0,8.0,9.9625,0.0,0.5,0.25,3.9125,2.625,0.25,15.25,16.75,1.5,3.375,4.25,1.125,8.3375,1.625,2.25,0.5,2.5
Christian Saydee,LBR,Portsmouth,22,Forward,891.0,9.9,6.383838383838384,0.0,0.20202020202020202,0.20202020202020202,3.6060606060606064,1.3131313131313131,0.10101010101010101,10.303030303030303,10.909090909090908,0.9090909090909091,0.8080808080808081,2.525252525252525,0.0,2.707070707070707,0.5050505050505051,0.7070707070707071,0.40404040404040403,4.343434343434343
Oscar Schwartau,DEN,Norwich City,18,Midfielder,1436.0,15.955555555555556,5.295961002785515,0.0,0.18802228412256267,0.0,1.7924791086350975,1.065459610027855,0.12534818941504178,11.030640668523677,6.580779944289693,0.7520891364902507,0.8147632311977716,1.8802228412256268,0.25069637883008355,3.7604456824512535,0.12534818941504178,0.5013927576601671,0.37604456824512533,1.8802228412256268
Tatsuki Seko,JPN,Stoke City,26,Midfielder,1710.0,19.0,4.478947368421053,0.0,0.10526315789473684,0.0,0.0,0.42105263157894735,0.0,13.789473684210526,2.736842105263158,0.15789473684210525,0.15789473684210525,0.10526315789473684,0.5263157894736842,5.2631578947368425,0.3157894736842105,0.7894736842105263,0.2631578947368421,0.8421052631578947
