player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting,total_cmp_stats_passing,total_att_stats_passing,total_cmp%_stats_passing,short_cmp_stats_passing,short_att_stats_passing,short_cmp%_stats_passing,medium_cmp_stats_passing,medium_att_stats_passing,medium_cmp%_stats_passing,long_cmp_stats_passing,long_att_stats_passing,long_cmp%_stats_passing,ast_stats_passing,1_3_stats_passing,ppa_stats_passing,prgp_stats_passing,pass_types_tb_stats_passing_types,pass_types_sw_stats_passing_types,pass_types_crs_stats_passing_types,outcomes_cmp_stats_passing_types,outcomes_blocks_stats_passing_types,sca_sca_stats_gca,gca_gca_stats_gca,tackles_tkl_stats_defense,tackles_tklw_stats_defense,tackles_def_3rd_stats_defense,tackles_mid_3rd_stats_defense,tackles_att_3rd_stats_defense,blocks_blocks_stats_defense,blocks_sh_stats_defense,blocks_pass_stats_defense,int_stats_defense,clr_stats_defense,err_stats_defense,touches_touches_stats_possession,touches_mid_3rd_stats_possession,touches_att_3rd_stats_possession,touches_att_pen_stats_possession,take_ons_att_stats_possession,take_ons_succ_stats_possession,take_ons_succ%_stats_possession,carries_carries_stats_possession,carries_prgc_stats_possession,carries_1_3_stats_possession,carries_cpa_stats_possession,carries_mis_stats_possession,carries_dis_stats_possession,receiving_rec_stats_possession,receiving_prgr_stats_possession,playing_time_90s_stats_playing_time,playing_time_mp_stats_playing_time,playing_time_min_stats_playing_time,performance_off_stats_misc,performance_crs_stats_misc,performance_int_stats_misc,performance_tklw_stats_misc,performance_recov_stats_misc,aerial_duels_won_stats_misc,aerial_duels_lost_stats_misc,aerial_duels_won%_stats_misc
David Cornell,WAL,Preston,33,1991,0.0,,Goalkeeper,0,0,0,0,0.00,0.00,1,1,100.0,0,0,0,0,0,0,1,1,100.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.9,2,85,0,0,0,0,0,0,0,0
Lewie Coyle,ENG,Hull City,29,1995,17.0,,Defender,1,18,3,16.7,1.06,0.18,1063,1330,79.9,430,479,89.8,520,629,82.7,97,185,52.4,1,91,25,109,1,8,85,1063,16,41,3,41,29,31,8,2,19,10,9,14,52,1,1520,675,328,22,21,13,61.9,901,55,43,5,19,10,980,50,11.8,14,1064,1,85,14,29,94,23,21,52.3
Charlie Crew,WAL,Leeds United,18,2006,0.1,,Midfielder,0,1,1,100.0,18.00,18.00,5,6,83.3,4,4,100.0,1,1,100.0,0,1,0.0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0,0,0,4,0,0,0,0,0,5,0,5.6,11,501,0,0,0,0,1,0,0,0
Ante Crnac,CRO,Norwich City,20,2003,11.7,,Forward,2,16,7,43.8,1.36,0.60,178,243,73.3,105,120,87.5,60,85,70.6,8,12,66.7,0,6,5,13,1,2,6,178,15,24,1,14,10,9,4,1,10,0,10,1,7,1,352,157,149,43,22,11,50.0,193,21,12,14,27,17,233,46,0.3,3,29,5,6,1,10,31,11,13,45.8
Josh Cullen,IRL,Burnley,28,1996,13.4,,Midfielder,0,7,2,28.6,0.52,0.15,742,848,87.5,328,359,91.4,333,361,92.2,73,101,72.3,0,78,2,67,1,5,7,742,7,25,1,23,15,6,17,0,8,1,7,9,12,1,934,589,148,10,7,6,85.7,457,2,15,0,12,10,677,17,15.0,15,1350,0,7,9,15,74,12,13,48.0
Liam Cullen,WAL,Swansea City,25,1999,8.7,Midfielder,Forward,3,20,5,25.0,2.29,0.57,100,143,69.9,66,83,79.5,25,38,65.8,5,7,71.4,0,6,3,16,2,0,4,100,4,11,0,10,6,0,6,4,9,4,5,1,10,0,218,97,91,31,3,0,0.0,97,6,4,1,10,5,128,24,7.0,10,629,0,4,1,6,14,17,28,37.8
Jamie Cumming,ENG,Oxford United,25,1999,17.0,,Goalkeeper,0,0,0,0,0.00,0.00,520,783,66.4,96,97,99.0,262,263,99.6,161,418,38.5,0,6,0,0,0,0,0,520,0,6,3,0,0,0,0,0,0,0,0,0,15,1,836,5,0,0,0,0,0,481,0,0,0,0,0,482,0,13.0,14,1172,0,0,0,0,12,2,0,100.0
Jesper Daland,NOR,Cardiff City,24,2000,3.8,,Defender,0,0,0,0,0.00,0.00,168,188,89.4,66,70,94.3,88,93,94.6,12,20,60.0,0,9,0,9,0,0,0,168,1,1,0,4,3,2,2,0,5,2,3,3,16,0,221,95,7,2,2,2,100.0,126,3,1,0,3,1,144,1,2.0,2,179,1,0,3,3,10,12,7,63.2
Owen Dale,ENG,Oxford United,26,1998,2.2,,Midfielder,0,2,0,0.0,0.91,0.00,36,52,69.2,20,26,76.9,12,18,66.7,2,4,50.0,0,0,3,4,0,1,6,36,2,4,0,1,1,0,1,0,1,0,1,2,5,0,75,27,37,5,3,1,33.3,48,6,2,2,3,4,49,15,10.0,11,901,1,6,2,1,7,0,7,0.0
Harry Darling,ENG,Swansea City,25,1999,16.0,,Defender,1,15,6,40.0,0.94,0.37,953,1094,87.1,326,358,91.1,567,611,92.8,56,113,49.6,1,63,1,69,3,7,0,953,3,10,2,12,5,7,4,1,19,14,5,9,81,0,1263,625,46,22,9,4,44.4,833,24,11,0,10,7,907,2,7.0,7,630,3,0,9,5,62,34,21,61.8
Jay Dasilva,WAL,Coventry City,26,1998,7.6,,Defender,0,2,1,50.0,0.26,0.13,340,419,81.1,214,235,91.1,103,127,81.1,14,37,37.8,1,22,13,35,0,0,21,340,6,17,2,21,15,11,6,4,16,2,14,10,14,0,496,199,178,10,13,8,61.5,250,18,12,2,10,9,280,50,0,0,0,1,21,10,15,31,4,6,40.0
