player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting,total_cmp_stats_passing,total_att_stats_passing,total_cmp%_stats_passing,short_cmp_stats_passing,short_att_stats_passing,short_cmp%_stats_passing,medium_cmp_stats_passing,medium_att_stats_passing,medium_cmp%_stats_passing,long_cmp_stats_passing,long_att_stats_passing,long_cmp%_stats_passing,ast_stats_passing,1_3_stats_passing,ppa_stats_passing,prgp_stats_passing,pass_types_tb_stats_passing_types,pass_types_sw_stats_passing_types,pass_types_crs_stats_passing_types,outcomes_cmp_stats_passing_types,outcomes_blocks_stats_passing_types,sca_sca_stats_gca,gca_gca_stats_gca,tackles_tkl_stats_defense,tackles_tklw_stats_defense,tackles_def_3rd_stats_defense,tackles_mid_3rd_stats_defense,tackles_att_3rd_stats_defense,blocks_blocks_stats_defense,blocks_sh_stats_defense,blocks_pass_stats_defense,int_stats_defense,clr_stats_defense,err_stats_defense,touches_touches_stats_possession,touches_mid_3rd_stats_possession,touches_att_3rd_stats_possession,touches_att_pen_stats_possession,take_ons_att_stats_possession,take_ons_succ_stats_possession,take_ons_succ%_stats_possession,carries_carries_stats_possession,carries_prgc_stats_possession,carries_1_3_stats_possession,carries_cpa_stats_possession,carries_mis_stats_possession,carries_dis_stats_possession,receiving_rec_stats_possession,receiving_prgr_stats_possession,playing_time_90s_stats_playing_time,playing_time_mp_stats_playing_time,playing_time_min_stats_playing_time,performance_off_stats_misc,performance_crs_stats_misc,performance_int_stats_misc,performance_tklw_stats_misc,performance_recov_stats_misc,aerial_duels_won_stats_misc,aerial_duels_lost_stats_misc,aerial_duels_won%_stats_misc
Paul Smyth,NIR,QPR,27,1997,12.8,Midfielder,Forward,0,19,6,31.6,1.49,0.47,251,390,64.4,125,154,81.2,105,151,69.5,14,40,35.0,1,30,19,43,0,0,63,251,26,46,4,18,14,6,10,2,17,2,15,1,19,0,551,199,287,32,36,14,38.9,323,56,24,13,35,24,360,100,13.7,15,1234,3,63,1,14,42,7,10,41.2
Manor Solomon,ISR,Leeds United,25,1999,7.1,,Forward,2,14,5,35.7,1.98,0.71,252,301,83.7,161,178,90.4,80,101,79.2,7,12,58.3,1,10,17,26,1,0,25,252,2,30,3,13,9,4,2,7,7,0,7,3,1,1,384,113,244,34,31,16,51.6,250,36,21,14,14,9,292,89,19.0,19,1710,6,25,3,9,33,0,3,0.0
Matthew Sorinola,ENG,Plymouth Argyle,23,2001,4.6,,Defender,0,0,0,0,0.00,0.00,135,205,65.9,50,59,84.7,69,92,75.0,16,44,36.4,0,5,1,8,0,3,9,135,9,7,0,8,6,5,3,0,5,2,3,3,14,0,249,113,40,4,5,1,20.0,122,5,1,2,7,2,130,17,7.1,15,639,0,9,3,6,20,2,8,20.0
Harry Souttar,AUS,Sheffield Utd,26,1998,15.6,,Defender,0,8,1,12.5,0.51,0.06,814,951,85.6,227,254,89.4,484,524,92.4,99,164,60.4,0,49,0,40,0,12,2,814,3,8,1,17,10,10,6,1,17,12,5,21,86,1,1126,489,33,26,4,4,100.0,619,3,0,1,9,1,770,0,0.6,3,54,0,2,21,10,37,57,15,79.2
Vinicius Souza,BRA,Sheffield Utd,25,1999,17.9,,Midfielder,0,10,5,50.0,0.56,0.28,818,915,89.4,382,416,91.8,363,396,91.7,52,67,77.6,0,81,4,77,1,6,4,818,9,29,5,66,43,32,27,7,27,7,20,20,38,2,1114,675,180,7,19,14,73.7,572,7,18,1,13,15,717,17,7.9,15,709,0,4,20,43,89,26,14,65.0
Jack Stacey,ENG,Norwich City,28,1996,10.8,,Defender,0,4,0,0.0,0.37,0.00,409,513,79.7,205,229,89.5,173,209,82.8,22,44,50.0,5,18,8,21,0,1,32,409,12,20,6,20,14,15,4,1,13,5,8,11,29,0,622,266,154,26,14,9,64.3,337,32,12,9,15,11,359,78,5.9,8,532,1,32,11,14,41,10,7,58.8
Enda Stevens,IRL,Stoke City,34,1990,5.9,,Defender,0,3,1,33.3,0.51,0.17,232,303,76.6,96,110,87.3,113,141,80.1,20,40,50.0,2,19,10,25,1,0,15,232,5,20,7,10,6,5,4,1,3,0,3,5,17,0,364,151,94,8,10,4,40.0,157,8,9,1,3,1,201,29,19.0,19,1710,2,15,5,6,21,6,4,60.0
Ben Stevenson,ENG,Portsmouth,27,1997,0.1,,Midfielder,0,0,0,0,0.00,0.00,11,11,100.0,7,7,100.0,4,4,100.0,0,0,0,0,2,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,2,0,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,100.0
Jordan Storey,ENG,Preston,27,1997,18.0,,Defender,1,14,2,14.3,0.78,0.11,660,868,76.0,274,324,84.6,323,382,84.6,49,127,38.6,1,44,1,56,0,3,7,660,12,17,4,24,15,13,6,5,17,10,7,33,53,1,1045,474,101,24,9,5,55.6,492,10,8,1,10,5,583,7,0.6,6,56,1,7,33,15,65,55,20,73.3
Pascal Struijk,NED,Leeds United,25,1999,19.0,,Defender,2,13,3,23.1,0.68,0.16,1569,1723,91.1,669,705,94.9,807,849,95.1,76,127,59.8,0,150,1,128,2,2,1,1569,13,27,6,18,12,6,8,4,13,8,5,21,65,0,1889,1065,90,22,3,1,33.3,1235,24,15,0,9,6,1419,6,15.0,15,1350,1,1,21,12,82,61,33,64.9
