player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting
Ryan Stirk,WAL,Walsall,24,2000,15.5,,Midfielder,0,17,2,11.8,1.10,0.13
Jayden Stockley,ENG,Port Vale,31,1993,11.4,,Forward,4,36,12,33.3,3.15,1.05
Cole Stockton,ENG,Salford City,30,1994,7.1,,Forward,2,13,5,38.5,1.84,0.71
Chris Stokes,ENG,Barrow,33,1991,7.9,,Defender,0,0,0,0,0.00,0.00
Jamie Stott,ENG,Morecambe,26,1997,17.0,,Defender,2,12,6,50.0,0.71,0.35
Sam Stubbs,ENG,Cheltenham,26,1998,13.0,,Defender,0,5,1,20.0,0.38,0.08
Levi Sutton,ENG,Harrogate,28,1996,5.7,,Midfielder,0,8,1,12.5,1.40,0.18
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90
Joel Tabiner,ENG,Crewe Alexandra,20,2003,12.8,,Midfielder,1,18,6,33.3,1.40,0.47
Devan Tanton,COL,Chesterfield,20,2004,7.1,,Defender,0,3,2,66.7,0.42,0.28
Ellis Taylor,ENG,Harrogate,21,2003,14.0,,Midfielder,3,26,11,42.3,1.86,0.79
Jon Taylor,ENG,Salford City,32,1992,4.8,,Midfielder,1,8,3,37.5,1.67,0.62
Lyle Taylor,MSR,Colchester Utd,34,1990,10.0,,Forward,5,24,10,41.7,2.40,1.00
Matty Taylor,ENG,Cheltenham,34,1990,5.8,,Forward,1,12,4,33.3,2.07,0.69
Max Taylor,ENG,Morecambe,24,2000,0.4,,Defender,0,1,1,100.0,2.81,2.81
Samuel Taylor,ENG,Tranmere Rovers,19,2004,1.5,,Midfielder,0,6,2,33.3,3.88,1.29
Dom Telford,ENG,Barrow,27,1996,3.3,Forward,Midfielder,1,9,3,33.3,2.76,0.92
Douglas Tharme,ENG,Grimsby Town,24,2000,4.2,,Defender,0,0,0,0,0.00,0.00
Adrien Thibaut,IRL,Crewe Alexandra,20,2004,3.3,,Forward,1,3,2,66.7,0.90,0.60
Conor Thomas,ENG,Crewe Alexandra,31,1993,6.2,,Midfielder,0,1,0,0.0,0.16,0.00
Joe Thomas,WAL,Newport County,22,2002,0.3,,Midfielder,0,0,0,0,0.00,0.00
Jordan Thomas,ENG,Cheltenham,23,2001,7.0,,Midfielder,2,21,8,38.1,3.02,1.15
Joshua Thomas,WAL,Bromley,22,2002,0.3,,Forward,0,1,0,0.0,3.91,0.00
Terell Thomas,LCA,Carlisle United,29,1995,9.2,,Defender,0,10,0,0.0,1.09,0.00
Ben Thompson,ENG,Bromley,29,1995,11.2,,Midfielder,2,20,5,25.0,1.78,0.44
Curtis Thompson,ENG,Grimsby Town,31,1993,1.0,,Midfielder,0,1,0,0.0,0.96,0.00
Max Thompson,ENG,Chesterfield,20,2004,5.0,,Goalkeeper,0,0,0,0,0.00,0.00
Kane Thompson-Sommers,ENG,MK Dons,23,2000,2.0,,Midfielder,1,3,1,33.3,1.51,0.50
George Thomson,SCO,Harrogate,32,1992,0.9,,Midfielder,0,1,0,0.0,1.14,0.00
Oscar Thorn,ENG,Colchester Utd,20,2004,1.8,,Midfielder,0,1,0,0.0,0.56,0.00
Junior Tiensia,ENG,Barrow,23,2000,0.1,,Defender,0,0,0,0,0.00,0.00
James Tilley,ENG,AFC Wimbledon,26,1998,10.9,,Midfielder,2,23,10,43.5,2.11,0.92
Curtis Tilt,JAM,Salford City,33,1991,11.5,,Defender,0,5,0,0.0,0.43,0.00
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90
Lorent Tolaj,SUI,Port Vale,23,2001,7.7,Forward,Midfielder,2,20,7,35.0,2.61,0.91
Ben Tollitt,ENG,Morecambe,29,1994,13.5,Forward,Midfielder,5,29,10,34.5,2.15,0.74
Joe Tomlinson,ENG,MK Dons,24,2000,15.5,,Midfielder,4,34,15,44.1,2.20,0.97
Besart Topalloj,ENG,Bromley,23,2001,2.3,,Midfielder,0,3,1,33.3,1.30,0.43
Samson Tovide,ENG,Colchester Utd,20,2004,11.6,,Forward,3,31,13,41.9,2.67,1.12
Nick Townsend,ATG,Newport County,30,1994,16.0,,Goalkeeper,0,0,0,0,0.00,0.00
Shilow Tracey,ENG,Crewe Alexandra,26,1998,13.8,Midfielder,Forward,5,23,7,30.4,1.67,0.51
Callum Tripp,ENG,MK Dons,18,2006,3.1,,Defender,0,0,0,0,0.00,0.00
Nicholas Tsaroulla,CYP,Notts County,25,1999,10.6,,Midfielder,0,21,4,19.0,1.99,0.38
Kabongo Tshimanga,ENG,Swindon Town,27,1997,8.5,,Forward,1,8,4,50.0,0.95,0.47
Jack Tucker,ENG,MK Dons,25,1999,7.7,,Defender,0,6,1,16.7,0.78,0.13
Jordan Turnbull,ENG,Tranmere Rovers,30,1994,13.9,,Defender,0,3,0,0.0,0.22,0.00
Jake Turner,ENG,Gillingham,25,1999,8.0,,Goalkeeper,0,0,0,0,0.00,0.00
David Tutonda,ENG,Morecambe,29,1995,13.3,,Defender,0,3,1,33.3,0.23,0.08
Theo Vassell,ENG,Barrow,27,1997,17.0,,Defender,3,10,5,50.0,0.59,0.29
Josh Vela,ENG,Carlisle United,30,1993,9.7,Forward,Midfielder,0,11,3,27.3,1.13,0.31
Charles Vernam,ENG,Grimsby Town,28,1996,5.9,,Midfielder,2,15,6,40.0,2.56,1.02
Matty Virtue,ENG,Fleetwood Town,27,1997,9.5,,Midfielder,3,17,5,29.4,1.79,0.53
Jacob Wakeling,ENG,Gillingham,23,2001,5.2,,Forward,1,6,1,16.7,1.15,0.19
Brad Walker,ENG,Tranmere Rovers,28,1996,6.0,,Defender,0,1,0,0.0,0.17,0.00
Jamie Walker,SCO,Bradford City,31,1993,10.9,,Midfielder,1,19,5,26.3,1.75,0.46
Sam Walker,ENG,Bradford City,33,1991,16.0,,Goalkeeper,0,0,0,0,0.00,0.00
Tyler Walton,ENG,Acc'ton Stanley,26,1998,9.6,Forward,Midfielder,2,14,8,57.1,1.45,0.83
Tyrell Warren,ENG,Grimsby Town,26,1998,10.3,,Defender,0,4,2,50.0,0.39,0.19
Ryan Watson,ENG,Salford City,31,1993,0.3,,Midfielder,0,1,0,0.0,2.90,0.00
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90
Stephen Wearne,ENG,MK Dons,23,2000,5.4,Forward,Midfielder,0,9,3,33.3,1.66,0.55
Byron Webster,ENG,Bromley,37,1987,10.8,,Defender,1,3,2,66.7,0.28,0.18
Evan Weir,IRL,Walsall,22,2002,0.5,,Defender,0,0,0,0,0.00,0.00
Zain Westbrooke,ENG,Doncaster,28,1996,1.7,,Midfielder,0,0,0,0,0.00,0.00
Charlie Weston,ENG,Barrow,20,2004,0.2,,Midfielder,0,0,0,0,0.00,0.00
Shaun Whalley,ENG,Acc'ton Stanley,37,1987,11.6,,Midfielder,3,29,9,31.0,2.49,0.77
Joe White,ENG,MK Dons,22,2002,5.6,,Midfielder,2,3,2,66.7,0.53,0.36
Tom White,ENG,Morecambe,27,1997,6.3,,Midfielder,0,3,0,0.0,0.48,0.00
Corey Whitley,ENG,Bromley,33,1991,13.3,Midfielder,Forward,1,17,3,17.6,1.28,0.23
Kai Whitmore,ENG,Newport County,23,2001,4.3,,Midfielder,1,4,2,50.0,0.94,0.47
Aaron Wildig,WAL,Newport County,32,1992,12.9,,Midfielder,4,14,7,50.0,1.09,0.54
Freddie Willcox,,Cheltenham,0,0,0.5,,Midfielder,0,0,0,0,0.00,0.00
Ben Williams,WAL,Carlisle United,25,1999,4.9,Midfielder,Defender,0,4,1,25.0,0.81,0.20
Euan Williams,NIR,Gillingham,21,2003,2.5,,Midfielder,0,3,0,0.0,1.22,0.00
Harry Williams,ENG,Walsall,22,2002,9.7,,Defender,1,6,1,16.7,0.62,0.10
Jonny Williams,WAL,Gillingham,31,1993,4.3,,Midfielder,1,7,3,42.9,1.63,0.70
Jordan Williams,WAL,MK Dons,29,1995,4.3,Defender,Midfielder,1,3,1,33.3,0.70,0.23
Josh Williams,WAL,Tranmere Rovers,20,2004,0.0,,Midfielder,0,0,0,0,0.00,0.00
Rhys Williams,ENG,Morecambe,23,2001,13.3,,Defender,1,6,1,16.7,0.45,0.07
Tyrone Williams,ENG,Chesterfield,30,1994,1.8,,Defender,0,2,1,50.0,1.09,0.55
Zac Williams,WAL,Crewe Alexandra,20,2004,15.9,,Defender,1,8,2,25.0,0.50,0.13
Donovan Wilson,ENG,Grimsby Town,27,1997,4.4,,Forward,1,8,3,37.5,1.81,0.68
Connor Wood,ENG,Tranmere Rovers,28,1996,10.8,,Defender,0,2,0,0.0,0.19,0.00
Nathan Wood,WAL,Newport County,27,1997,0.3,,Forward,0,1,0,0.0,3.33,0.00
Richard Wood,ENG,Doncaster,39,1985,2.0,,Defender,0,4,1,25.0,2.00,0.50
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90
Ben Woodburn,WAL,Salford City,25,1999,9.1,Forward,Midfielder,2,19,6,31.6,2.08,0.66
Ben Woods,ENG,Acc'ton Stanley,22,2002,7.6,,Midfielder,1,9,3,33.3,1.19,0.40
Josh Woods,ENG,Acc'ton Stanley,24,2000,3.1,Midfielder,Forward,2,11,6,54.5,3.50,1.91
Alex Woodyard,ENG,Colchester Utd,31,1993,9.8,,Midfielder,0,3,0,0.0,0.31,0.00
David Worrall,ENG,Barrow,34,1990,0.3,Midfielder,Forward,0,0,0,0,0.00,0.00
Jordan Wright,ENG,Grimsby Town,27,1997,8.0,,Goalkeeper,0,0,0,0,0.00,0.00
Tyreik Wright,IRL,Bradford City,23,2001,10.8,,Midfielder,0,6,1,16.7,0.56,0.09
Will Wright,ENG,Swindon Town,27,1997,17.0,,Defender,3,14,5,35.7,0.82,0.29
Charlie Wyke,ENG,Carlisle United,31,1992,9.6,,Forward,2,16,3,18.8,1.67,0.31
Marcus Wyllie,ENG,Gillingham,25,1999,5.9,Midfielder,Forward,0,7,2,28.6,1.19,0.34
Ephraim Yeboah,GHA,Doncaster,18,2006,2.8,,Midfielder,0,8,2,25.0,2.85,0.71
Luke Young,ENG,Cheltenham,31,1993,15.1,,Midfielder,3,26,11,42.3,1.72,0.73
