player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting
Sam Foley,IRL,Barrow,38,1986,6.8,,Midfielder,1,7,3,42.9,1.03,0.44
Tyrese Fornah,SLE,Salford City,25,1999,13.0,,Midfielder,0,12,3,25.0,0.92,0.23
Matty Foulds,ENG,Harrogate,26,1998,8.7,,Defender,0,6,2,33.3,0.69,0.23
Miguel Freckleton,ENG,Swindon Town,22,2002,13.8,,Defender,0,2,0,0.0,0.15,0.00
James Furlong,IRL,AFC Wimbledon,22,2002,5.9,,Midfielder,0,3,0,0.0,0.51,0.00
Luke Garbutt,ENG,Salford City,31,1993,15.5,Midfielder,Defender,0,15,4,26.7,0.97,0.26
Cameron Gardner,,Grimsby Town,0,0,3.2,,Midfielder,0,5,2,40.0,1.57,0.63
Gerard Garner,ENG,Barrow,26,1998,9.5,,Forward,3,24,10,41.7,2.54,1.06
Ben Garrity,ENG,Port Vale,27,1997,13.8,,Midfielder,2,12,4,33.3,0.87,0.29
Joseph Gbode,ENG,Gillingham,19,2005,4.2,,Midfielder,0,8,2,25.0,1.91,0.48
Jordan Gibson,ENG,Doncaster,26,1998,11.2,,Midfielder,3,34,12,35.3,3.04,1.07
Liam Gibson,ENG,Harrogate,27,1997,3.9,,Defender,0,1,1,100.0,0.26,0.26
Alex Gilbey,ENG,MK Dons,29,1994,15.8,Forward,Midfielder,7,37,19,51.4,2.34,1.20
Paul Glatzel,ENG,Swindon Town,23,2001,8.4,Midfielder,Forward,1,21,5,23.8,2.50,0.59
Ben Goodliffe,ENG,Colchester Utd,25,1999,6.7,,Defender,3,7,4,57.1,1.05,0.60
Owen Goodman,ENG,AFC Wimbledon,21,2003,16.0,,Goalkeeper,0,0,0,0,0.00,0.00
John-Kymani Gordon,ENG,Colchester Utd,21,2003,8.5,Forward,Midfielder,1,16,4,25.0,1.88,0.47
Josh Gordon,ENG,Walsall,29,1995,2.3,,Forward,1,10,3,30.0,4.41,1.32
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90
Kellan Gordon,ENG,Notts County,26,1997,6.6,,Midfielder,0,6,2,33.3,0.91,0.30
Lewis Gordon,SCO,Chesterfield,23,2001,16.8,,Defender,0,3,1,33.3,0.18,0.06
Liam Gordon,GUY,Walsall,25,1999,14.5,,Midfielder,1,6,1,16.7,0.41,0.07
Robbie Gotts,ENG,Barrow,25,1999,9.4,,Midfielder,0,7,2,28.6,0.74,0.21
Conor Grant,IRL,Notts County,23,2001,6.0,Forward,Midfielder,0,7,3,42.9,1.17,0.50
Conor Grant,ENG,Port Vale,29,1995,2.5,,Midfielder,0,1,0,0.0,0.40,0.00
Kamarl Grant,ENG,Bromley,21,2003,15.5,,Defender,1,12,5,41.7,0.77,0.32
Ryan Graydon,IRL,Fleetwood Town,25,1999,11.5,,Forward,2,25,3,12.0,2.17,0.26
