player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_stats_standard,playing_time_min_stats_playing_time,total_cmp%_stats_passing,ast_stats_passing,ppa_stats_passing,standard_gls_stats_shooting,standard_sot%_stats_shooting,sca_sca_stats_gca,gca_gca_stats_gca,touches_mid_3rd_stats_possession,touches_att_3rd_stats_possession,take_ons_succ_stats_possession,carries_prgc_stats_possession,receiving_prgr_stats_possession,tackles_mid_3rd_stats_defense,aerial_duels_won%_stats_misc,performance_crs_stats_misc,tackles_tkl_stats_defense,int_stats_defense,performance_recov_stats_misc,90s,total_cmp%_stats_passing_per_90,ast_stats_passing_per_90,ppa_stats_passing_per_90,standard_gls_stats_shooting_per_90,standard_sot%_stats_shooting_per_90,sca_sca_stats_gca_per_90,gca_gca_stats_gca_per_90,touches_mid_3rd_stats_possession_per_90,touches_att_3rd_stats_possession_per_90,take_ons_succ_stats_possession_per_90,carries_prgc_stats_possession_per_90,receiving_prgr_stats_possession_per_90,tackles_mid_3rd_stats_defense_per_90,aerial_duels_won%_stats_misc_per_90,performance_crs_stats_misc_per_90,tackles_tkl_stats_defense_per_90,int_stats_defense_per_90,performance_recov_stats_misc_per_90
Rhian Brewster,ENG,Sheffield Utd,24,2000,3.9,Midfielder,1101.0,78.4,1,4,0,16.7,14,1,67,51,4,7,16,1,33.3,7,2,1,14,12.233333333333333,6.408719346049047,0.08174386920980926,0.32697547683923706,0.0,1.3651226158038148,1.1444141689373297,0.08174386920980926,5.476839237057221,4.168937329700273,0.32697547683923706,0.5722070844686649,1.3079019073569482,0.08174386920980926,2.7220708446866486,0.5722070844686649,0.16348773841961853,0.08174386920980926,1.1444141689373297
Jacob Brown,SCO,Luton Town,26,1998,3.4,Forward,918.0,74.6,1,4,2,36.4,9,2,29,62,5,5,20,1,32.4,2,1,0,9,10.2,7.313725490196078,0.09803921568627452,0.3921568627450981,0.19607843137254904,3.5686274509803924,0.8823529411764707,0.19607843137254904,2.843137254901961,6.07843137254902,0.4901960784313726,0.4901960784313726,1.9607843137254903,0.09803921568627452,3.1764705882352944,0.19607843137254904,0.09803921568627452,0.0,0.8823529411764707
Alan Browne,IRL,Sunderland,29,1995,6.9,Midfielder,1235.0,79.4,0,4,1,60.0,14,1,157,82,2,9,22,1,30.4,13,10,5,26,13.722222222222221,5.786234817813766,0.0,0.29149797570850206,0.07287449392712551,4.372469635627531,1.0202429149797572,0.07287449392712551,11.441295546558704,5.9757085020242915,0.14574898785425103,0.6558704453441296,1.6032388663967612,0.07287449392712551,2.2153846153846155,0.9473684210526316,0.728744939271255,0.3643724696356275,1.8947368421052633
John Buckley,ENG,Blackburn,25,1999,1.0,Midfielder,949.0,87.4,0,1,0,0.0,6,0,91,22,1,1,2,1,50.0,3,2,2,13,10.544444444444444,8.288724973656482,0.0,0.09483667017913594,0.0,0.0,0.5690200210748156,0.0,8.63013698630137,2.0864067439409903,0.09483667017913594,0.09483667017913594,0.18967334035827188,0.09483667017913594,4.7418335089567965,0.2845100105374078,0.18967334035827188,0.18967334035827188,1.2328767123287672
Finley Burns,ENG,Hull City,21,2003,0.9,Midfielder,609.0,80.0,0,0,0,0.0,1,0,14,11,0,0,1,0,50.0,0,0,4,5,6.766666666666667,11.822660098522167,0.0,0.0,0.0,0.0,0.1477832512315271,0.0,2.0689655172413794,1.625615763546798,0.0,0.0,0.1477832512315271,0.0,7.389162561576355,0.0,0.0,0.5911330049261084,0.7389162561576355
Sam Byram,ENG,Leeds United,31,1993,3.5,Defender,686.0,81.5,0,3,0,0.0,11,1,144,127,2,5,26,2,60.0,5,11,4,15,7.622222222222222,10.692419825072887,0.0,0.3935860058309038,0.0,0.0,1.4431486880466473,0.13119533527696794,18.892128279883384,16.661807580174926,0.2623906705539359,0.6559766763848397,3.4110787172011663,0.2623906705539359,7.871720116618076,0.6559766763848397,1.4431486880466473,0.5247813411078718,1.967930029154519
Tyrese Campbell,ENG,Sheffield Utd,24,1999,4.0,Forward,507.0,73.5,0,2,3,54.5,7,1,31,69,1,11,25,1,25.0,4,1,0,6,5.633333333333334,13.047337278106507,0.0,0.35502958579881655,0.5325443786982248,9.67455621301775,1.242603550295858,0.17751479289940827,5.502958579881656,12.248520710059172,0.17751479289940827,1.9526627218934909,4.437869822485207,0.17751479289940827,4.437869822485207,0.7100591715976331,0.17751479289940827,0.0,1.0650887573964496
Todd Cantwell,ENG,Blackburn,26,1998,7.7,Forward,1350.0,78.2,2,15,0,33.3,34,4,229,186,12,29,43,6,0.0,34,14,6,43,15.0,5.213333333333334,0.13333333333333333,1.0,0.0,2.2199999999999998,2.2666666666666666,0.26666666666666666,15.266666666666667,12.4,0.8,1.9333333333333333,2.8666666666666667,0.4,0.0,2.2666666666666666,0.9333333333333333,0.4,2.8666666666666667
Žan Celar,SVN,QPR,25,1999,7.7,Forward,622.0,70.4,0,2,0,25.0,13,0,70,76,2,3,29,2,42.9,3,4,0,14,6.911111111111111,10.186495176848876,0.0,0.28938906752411575,0.0,3.617363344051447,1.8810289389067523,0.0,10.12861736334405,10.996784565916398,0.28938906752411575,0.4340836012861736,4.196141479099678,0.28938906752411575,6.207395498392282,0.4340836012861736,0.5787781350482315,0.0,2.02572347266881
Ilias Chair,MAR,QPR,27,1997,4.2,Midfielder,1349.0,68.1,0,7,0,45.5,23,0,97,130,8,17,22,0,20.0,46,2,2,19,14.988888888888889,4.5433654558932535,0.0,0.4670126019273536,0.0,3.0355819125277983,1.5344699777613047,0.0,6.471460340993328,8.673091178650852,0.5337286879169756,1.134173461823573,1.4677538917716828,0.0,1.3343217197924389,3.0689399555226093,0.1334321719792439,0.1334321719792439,1.267605633802817
