,player,nation_stats_standard,squad,position_stats_standard,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,playing_time_min_stats_playing_time,total_cmp%_stats_passing,ast_stats_passing,ppa_stats_passing,standard_gls_stats_shooting,standard_sot%_stats_shooting,sca_sca_stats_gca,gca_gca_stats_gca,touches_mid_3rd_stats_possession,touches_att_3rd_stats_possession,take_ons_succ_stats_possession,carries_prgc_stats_possession,receiving_prgr_stats_possession,tackles_mid_3rd_stats_defense,aerial_duels_won%_stats_misc,performance_crs_stats_misc,tackles_tkl_stats_defense,int_stats_defense,performance_recov_stats_misc,value
36,Sam Cosgrove,ENG,Barnsley,Forward,27,1996,7.7,930.0,0.0,0.0,0.0,1.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,450000.0
38,Jordan Cousins,ENG,Cambridge Utd,Forward,30,1994,0.3,580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,250000.0
39,Conor Coventry,IRL,Charlton Ath,Midfielder,24,2000,10.9,1053.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,1500000.0
40,Matthew Craig,SCO,Barnsley,Midfielder,21,2003,8.1,1029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
42,Ronan Darcy,ENG,Crawley Town,Midfielder,23,2000,11.3,721.0,0.0,0.0,0.0,1.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,400000.0
43,Tendayi Darikwa,ZIM,Lincoln City,Midfielder,32,1991,10.9,619.0,0.0,0.0,0.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,350000.0
45,Siriki Dembélé,CIV,Birmingham City,Midfielder,28,1996,0.5,955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2200000.0
46,Kyle Dempsey,ENG,Bolton,Midfielder,29,1995,6.0,900.0,0.0,0.0,0.0,3.0,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,600000.0
47,Matt Dibley-Dias,NZL,Northampton,Midfielder,20,2004,0.6,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,500000.0
48,Paul Digby,ENG,Cambridge Utd,Midfielder,29,1995,10.5,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,350000.0
49,Kaheim Dixon,JAM,Charlton Ath,Forward,20,2004,0.0,704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
50,Jamie Donley,ENG,Leyton Orient,Midfielder,19,2005,5.1,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,1500000.0
51,Romelle Donovan,ENG,Burton Albion,Midfielder,17,2006,1.7,978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,900000.0
52,Kelvin Ehibhatiomhan,ENG,Reading,Forward,21,2003,8.7,945.0,0.0,0.0,0.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,500000.0
53,Elliot Embleton,ENG,Blackpool,Midfielder,25,1999,2.4,1080.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,900000.0
54,Ethan Erhahon,SCO,Lincoln City,Midfielder,23,2001,11.0,767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1000000.0
55,Antony Evans,ENG,Huddersfield,Midfielder,26,1998,7.2,457.0,0.0,0.0,0.0,2.0,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,600000.0
56,Mo Faal,ENG,Wrexham,Forward,21,2003,0.1,477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225000.0
57,Jayden Fevrier,ENG,Stockport,Midfielder,21,2003,4.2,1080.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,300000.0
58,Ashley Fletcher,ENG,Blackpool,Forward,29,1995,4.6,779.0,0.0,0.0,0.0,1.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,500000.0
59,Steven Fletcher,SCO,Wrexham,Forward,37,1987,3.3,855.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
60,Harry Forster,ENG,Crawley Town,Midfielder,24,2000,4.1,855.0,0.0,0.0,0.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,100000.0
61,Ben Fox,ENG,Northampton,Midfielder,26,1998,3.6,601.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,125000.0
62,Ed Francis,ENG,Exeter City,Midfielder,25,1999,7.3,926.0,0.0,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0
63,Tyrese Francois,AUS,Wigan Athletic,Midfielder,24,2000,1.3,1002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600000.0
64,Georgie Gent,ENG,Barnsley,Midfielder,21,2003,3.5,955.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,300000.0
65,Ciaran Gilligan,ENG,Burton Albion,Midfielder,22,2002,2.5,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,125000.0
66,Lee Gregory,ENG,Mansfield Town,Forward,36,1988,8.2,530.0,0.0,0.0,0.0,6.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,150000.0
