player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting,playing_time_90s_stats_playing_time,playing_time_mp_stats_playing_time,playing_time_min_stats_playing_time,performance_off_stats_misc,performance_crs_stats_misc,performance_int_stats_misc,performance_tklw_stats_misc
Mitchell Pinnock,ENG,Northampton,29,1994,15.7,,Midfielder,2,26,8,30.8,1.66,0.51,6.0,6,540,2,78,15,10
Kwame Poku,GHA,P'borough Utd,23,2001,15.5,,Midfielder,10,48,20,41.7,3.09,1.29,11.6,14,1043,2,64,1,16
Dan Potts,ENG,Charlton Ath,30,1994,0.8,,Defender,0,0,0,0,0.00,0.00,11.8,14,1058,0,1,0,0
Joe Powell,ENG,Rotherham Utd,26,1998,14.2,,Midfielder,0,16,3,18.8,1.13,0.21,4.5,8,402,0,140,15,12
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,90s,MP,Min,Off,Crs,Int,TklW
Nick Powell,ENG,Stockport,30,1994,2.1,,Midfielder,0,3,0,0.0,1.40,0.00,3.8,4,339,0,6,1,2
Darren Pratley,JAM,Leyton Orient,39,1985,4.2,,Midfielder,0,3,1,33.3,0.71,0.24,0,0,0,0,0,2,3
Aaron Pressley,SCO,Stevenage,23,2001,0.9,,Forward,0,1,1,100.0,1.07,1.07,3.3,7,294,2,0,0,0
Ben Purrington,ENG,Exeter City,28,1996,3.9,,Defender,0,0,0,0,0.00,0.00,9.9,14,888,1,8,3,2
Ethan Pye,ENG,Stockport,22,2002,16.0,,Defender,1,7,1,14.3,0.44,0.06,13.7,14,1236,0,3,11,20
Christy Pym,ENG,Mansfield Town,29,1995,14.3,,Goalkeeper,0,0,0,0,0.00,0.00,4.9,11,445,0,0,2,0
