player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting,playing_time_90s_stats_playing_time,playing_time_mp_stats_playing_time,playing_time_min_stats_playing_time,performance_off_stats_misc,performance_crs_stats_misc,performance_int_stats_misc,performance_tklw_stats_misc
Thelo Aasgaard,NOR,Wigan Athletic,22,2002,13.9,,Midfielder,5,42,18,42.9,3.02,1.29,13.9,16,1253,1,6,11,9
Ken Aboh,ENG,Stevenage,20,2004,0.5,,Midfielder,0,2,1,50.0,3.83,1.91,0.5,2,47,0,0,0,0
Kelvin Abrefa,ENG,Reading,20,2003,2.9,,Defender,0,2,0,0.0,0.69,0.00,2.9,9,259,0,2,4,6
Tayo Adaramola,IRL,Stockport,21,2003,2.7,Midfielder,Defender,0,2,2,100.0,0.74,0.74,2.7,5,242,0,9,0,7
Corey Addai,JAM,Stockport,27,1997,13.5,,Goalkeeper,0,0,0,0,0.00,0.00,13.5,14,1215,0,0,0,0
Victor Adeboyejo,ENG,Bolton,26,1998,7.7,,Forward,2,13,6,46.2,1.69,0.78,7.7,16,691,4,4,3,1
Babajide Adeeko,IRL,Wigan Athletic,21,2003,7.9,,Midfielder,0,3,1,33.3,0.38,0.13,7.9,12,709,1,10,6,7
Ade Adeyemo,ENG,Crawley Town,26,1998,4.0,Forward,Midfielder,1,9,4,44.4,2.24,0.99,4.0,11,362,0,10,1,3
Dan Agyei,ENG,Leyton Orient,27,1997,13.1,Forward,Midfielder,2,18,5,27.8,1.38,0.38,13.1,16,1176,8,24,0,2
Ashqar Ahmed,,Reading,0,0,0.3,,Defender,0,0,0,0,0.00,0.00,0.3,2,28,0,1,0,0
Will Aimson,ENG,Wigan Athletic,28,1995,15.8,,Defender,0,5,2,40.0,0.32,0.13,15.8,16,1422,0,0,20,20
Jack Aitchison,SCO,Exeter City,24,2000,12.5,,Midfielder,0,19,3,15.8,1.51,0.24,12.5,15,1129,2,22,12,6
David Ajiboye,ENG,P'borough Utd,26,1998,2.3,Defender,Midfielder,0,0,0,0,0.00,0.00,2.3,6,208,0,8,3,4
Adrian Akande,NGA,Reading,21,2003,4.3,,Forward,0,4,1,25.0,0.93,0.23,4.3,10,388,5,13,2,2
Lucas Akins,GRN,Mansfield Town,35,1989,7.3,Defender,Forward,0,3,2,66.7,0.41,0.27,7.3,10,656,2,10,10,9
Nicholas Akoto,USA,Burton Albion,26,1998,5.1,Defender,Midfielder,0,4,1,25.0,0.79,0.20,5.1,12,457,3,9,1,11
Millenic Alli,IRL,Exeter City,24,2000,10.0,Midfielder,Forward,1,21,6,28.6,2.10,0.60,10.0,14,902,8,20,5,9
Ryan Allsop,ENG,Birmingham City,32,1992,8.0,,Goalkeeper,0,0,0,0,0.00,0.00,8.0,8,720,0,0,0,0
Karoy Anderson,JAM,Charlton Ath,20,2004,8.3,,Midfielder,0,5,2,40.0,0.60,0.24,8.3,12,751,2,7,5,11
Keshi Anderson,ENG,Birmingham City,29,1995,9.1,,Midfielder,3,20,5,25.0,2.20,0.55,9.1,14,819,6,23,4,9
Max Anderson,SCO,Crawley Town,23,2001,10.7,,Midfielder,1,7,2,28.6,0.65,0.19,10.7,15,962,0,5,12,15
Danny Andrew,ENG,Cambridge Utd,33,1990,13.3,,Defender,1,11,4,36.4,0.83,0.30,13.3,15,1197,0,63,16,9
Chuks Aneke,ENG,Charlton Ath,31,1993,2.5,Midfielder,Forward,1,14,3,21.4,5.70,1.22,2.5,9,221,2,2,1,1
Louis Appere,SCO,Stevenage,25,1999,0.9,Midfielder,Forward,0,2,2,100.0,2.20,2.20,0.9,3,82,0,0,0,1
Robert Apter,SCO,Blackpool,21,2003,14.0,,Midfielder,1,31,10,32.3,2.22,0.72,14.0,17,1256,0,56,7,17
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,90s,MP,Min,Off,Crs,Int,TklW
Scott Arfield,CAN,Bolton,36,1988,2.8,,Midfielder,0,5,2,40.0,1.81,0.73,2.8,11,248,0,4,1,1
Jack Armer,SCO,Burton Albion,23,2001,11.0,,Defender,0,2,0,0.0,0.18,0.00,11.0,13,987,0,31,5,14
Maleace Asamoah,ENG,Wigan Athletic,22,2002,0.3,,Forward,0,0,0,0,0.00,0.00,0.3,3,25,1,0,0,0
Taye Ashby-Hammond,ENG,Stevenage,25,1999,2.0,,Goalkeeper,0,0,0,0,0.00,0.00,2.0,2,180,0,0,0,0
Zachary Ashworth,WAL,Blackpool,22,2002,1.0,Midfielder,Defender,0,0,0,0,0.00,0.00,1.0,4,91,0,3,3,2
Femi Azeez,ENG,Reading,23,2001,0.3,,Midfielder,0,3,2,66.7,9.31,6.21,0.3,1,29,0,0,1,0
Keanu Baccus,AUS,Mansfield Town,26,1998,9.6,,Midfielder,1,19,5,26.3,1.97,0.52,9.6,14,866,1,30,13,16
Elkan Baggott,IDN,Blackpool,22,2002,2.0,,Defender,0,1,0,0.0,0.50,0.00,2.0,2,180,0,0,2,3
Odin Bailey,ENG,Stockport,24,1999,3.8,,Midfielder,1,7,3,42.9,1.85,0.79,3.8,13,341,0,12,1,5
Geraldo Bajrami,ALB,Burton Albion,25,1999,0.2,,Defender,0,0,0,0,0.00,0.00,0.2,1,15,0,0,0,0
Tyreeq Bakinson,ENG,Wycombe,26,1998,3.2,,Midfielder,0,5,1,20.0,1.57,0.31,3.2,10,286,0,2,2,2
Jack Baldwin,ENG,Northampton,31,1993,11.4,,Defender,1,5,3,60.0,0.44,0.26,11.4,13,1029,0,3,17,6
Dominic Ball,ENG,Leyton Orient,29,1995,5.6,Defender,Midfielder,0,2,0,0.0,0.36,0.00,5.6,11,507,0,2,5,8
Dominic Ballard,ENG,Blackpool,19,2005,7.0,Midfielder,Forward,1,19,7,36.8,2.71,1.00,7.0,12,631,1,5,1,2
Alex Bannon,SCO,Burton Albion,21,2003,8.1,Midfielder,Defender,0,2,2,100.0,0.25,0.25,8.1,9,732,0,3,12,17
Charlie Barker,ENG,Crawley Town,21,2003,8.4,,Defender,0,3,1,33.3,0.36,0.12,8.4,10,755,0,3,13,9
Ryan Barnett,ENG,Wrexham,25,1999,15.6,Midfielder,Defender,1,11,5,45.5,0.70,0.32,15.6,16,1405,1,108,10,19
Louie Barry,ENG,Stockport,21,2003,14.2,Forward,Midfielder,13,53,28,52.8,3.74,1.98,14.2,17,1275,3,27,6,8
Jaiden Bartolo,GIB,Wycombe,18,2006,0.4,,Forward,0,0,0,0,0.00,0.00,0.4,2,35,0,3,0,0
Daniel Barton,ENG,Cambridge Utd,19,2005,3.4,Forward,Midfielder,0,4,1,25.0,1.19,0.30,3.4,7,303,0,5,4,1
Lewis Bate,ENG,Stockport,22,2002,12.6,,Midfielder,1,10,2,20.0,0.79,0.16,12.6,14,1135,0,24,14,19
Nathan Baxter,ENG,Bolton,26,1998,11.0,,Goalkeeper,0,0,0,0,0.00,0.00,11.0,11,990,0,0,0,0
Tom Bayliss,ENG,Lincoln City,25,1999,6.4,,Midfielder,0,9,3,33.3,1.41,0.47,6.4,9,574,0,28,3,4
Omar Beckles,GRN,Leyton Orient,33,1991,13.7,,Defender,0,4,0,0.0,0.29,0.00,0,0,0,0,0,7,13
Jake Beesley,ENG,Blackpool,27,1996,2.4,Forward,Midfielder,1,4,2,50.0,1.69,0.85,13.7,15,1231,0,1,3,3
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,90s,MP,Min,Off,Crs,Int,TklW
Liam Bennett,ENG,Cambridge Utd,22,2001,11.4,,Midfielder,0,5,3,60.0,0.44,0.26,2.4,8,213,2,79,18,12
Mason Bennett,ENG,Burton Albion,28,1996,4.5,,Midfielder,0,8,2,25.0,1.76,0.44,0,0,0,1,3,2,4
Malvind Benning,ENG,Shrewsbury,31,1993,13.8,Midfielder,Defender,0,11,3,27.3,0.80,0.22,11.4,13,1023,2,96,17,16
Josh Benson,ENG,Barnsley,24,1999,1.7,,Midfielder,0,4,2,50.0,2.29,1.15,4.5,10,409,0,11,3,4
Luke Berry,ENG,Charlton Ath,32,1992,7.9,,Midfielder,4,20,10,50.0,2.52,1.26,13.8,15,1242,1,22,3,7
Krystian Bielik,POL,Birmingham City,26,1998,10.4,,Defender,1,5,1,20.0,0.48,0.10,1.7,6,157,0,1,23,11
Harrison Biggins,ENG,Shrewsbury,28,1996,1.1,,Midfielder,0,2,0,0.0,1.87,0.00,7.9,16,713,0,1,1,1
Nicholas Bilokapic,AUS,P'borough Utd,22,2002,4.0,,Goalkeeper,0,0,0,0,0.00,0.00,10.4,11,935,0,0,0,1
Bryant Bilongo,ENG,Bristol Rovers,23,2001,9.3,Defender,Midfielder,1,6,2,33.3,0.64,0.21,1.1,3,96,1,20,21,7
Tyler Bindon,NZL,Reading,19,2005,15.8,,Defender,0,9,2,22.2,0.57,0.13,4.0,4,360,1,0,14,10
Jay Bird,ENG,Exeter City,23,2001,1.7,,Forward,0,2,1,50.0,1.20,0.60,9.3,14,839,0,2,0,1
Nathan Bishop,ENG,Wycombe,25,1999,2.0,,Goalkeeper,0,0,0,0,0.00,0.00,15.8,16,1422,0,0,0,0
Frazer Blake-Tracy,ENG,Mansfield Town,29,1995,5.4,Defender,Midfielder,0,3,0,0.0,0.56,0.00,1.7,7,150,1,9,6,2
Tom Bloxham,ENG,Shrewsbury,21,2003,8.2,Forward,Midfielder,3,12,5,41.7,1.46,0.61,2.0,2,180,1,42,5,9
Hiram Boateng,ENG,Mansfield Town,28,1996,8.9,,Midfielder,1,6,2,33.3,0.68,0.23,0,0,0,0,36,4,7
Billy Bodin,WAL,Burton Albion,32,1992,5.4,Forward,Midfielder,3,16,5,31.3,2.99,0.93,5.4,8,485,4,10,3,5
Terry Bondo,ENG,Blackpool,17,2007,0.6,,Forward,0,4,1,25.0,6.92,1.73,8.2,14,741,1,1,0,0
Pedro Borges,POR,Exeter City,19,2005,0.1,,Midfielder,0,0,0,0,0.00,0.00,8.9,14,799,0,0,1,0
Jordan Bowery,ENG,Mansfield Town,33,1991,8.8,,Defender,0,0,0,0,0.00,0.00,5.4,8,482,0,4,9,9
Coniah Boyce-Clarke,JAM,Reading,21,2003,1.0,,Goalkeeper,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0
Cameron Bragg,ENG,Crawley Town,19,2005,2.4,,Midfielder,0,1,0,0.0,0.41,0.00,0.6,2,52,0,4,5,4
Cohen Bramall,ENG,Rotherham Utd,28,1996,6.6,Defender,Midfielder,0,5,1,20.0,0.75,0.15,0.1,1,11,2,26,2,11
Alejandro Bran,CRC,Burton Albion,23,2001,0.1,,Midfielder,0,2,1,50.0,30.00,15.00,0,0,0,0,0,0,1
James Brophy,ENG,Cambridge Utd,30,1994,12.7,,Midfielder,0,9,4,44.4,0.71,0.31,8.8,15,794,1,19,13,19
Patrick Brough,ENG,Northampton,28,1996,0.9,,Defender,0,1,1,100.0,1.07,1.07,1.0,1,90,0,2,1,0
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,90s,MP,Min,Off,Crs,Int,TklW
Jordan Brown,ENG,Leyton Orient,23,2001,11.5,,Midfielder,0,9,2,22.2,0.79,0.17,0,0,0,0,13,15,10
Lewis Brunt,ENG,Wrexham,24,2000,2.2,,Defender,0,1,0,0.0,0.45,0.00,2.4,6,220,0,0,2,7
Lee Burge,ENG,Northampton,31,1993,16.8,,Goalkeeper,0,0,0,0,0.00,0.00,6.6,10,597,0,0,1,0
Rumarn Burrell,ENG,Burton Albion,23,2000,0.2,,Forward,0,0,0,0,0.00,0.00,0.1,1,6,1,1,0,0
Callum Burton,ENG,Wrexham,28,1996,3.0,,Goalkeeper,0,0,0,0,0.00,0.00,12.7,16,1143,0,0,0,0
Matt Butcher,ENG,Wycombe,27,1997,2.4,,Midfielder,0,2,2,100.0,0.84,0.84,0.9,3,84,0,1,0,1
Dan Butler,ENG,Stevenage,30,1994,12.5,,Defender,0,3,2,66.7,0.24,0.16,11.5,14,1031,1,39,7,12
David Button,ENG,Reading,35,1989,5.0,,Goalkeeper,0,0,0,0,0.00,0.00,2.2,3,202,0,0,1,0
Bailey-Tye Cadamarteri,JAM,Lincoln City,19,2005,7.3,,Forward,3,14,7,50.0,1.93,0.96,16.8,17,1511,4,2,2,1
Mamadi Camará,GNB,Reading,20,2003,3.7,,Forward,0,3,1,33.3,0.80,0.27,0.2,3,18,2,2,2,4
Panutche Camará,GNB,Crawley Town,27,1997,9.2,Forward,Midfielder,0,11,3,27.3,1.19,0.33,3.0,3,270,1,13,6,7
Allan Campbell,SCO,Charlton Ath,26,1998,4.8,,Midfielder,0,3,0,0.0,0.63,0.00,2.4,10,215,1,0,1,4
Chem Campbell,WAL,Reading,21,2002,9.2,,Forward,3,17,7,41.2,1.85,0.76,12.5,14,1129,3,15,8,6
Tyreece Campbell,ENG,Charlton Ath,21,2003,10.0,Midfielder,Forward,0,15,7,46.7,1.50,0.70,5.0,5,450,7,38,4,6
Callum Camps,NIR,Stockport,28,1995,8.0,,Midfielder,0,7,0,0.0,0.87,0.00,7.3,14,654,0,5,9,12
Andy Cannon,ENG,Wrexham,28,1996,9.7,,Midfielder,2,10,2,20.0,1.03,0.21,3.7,7,336,0,16,7,16
Mustapha Carayol,GAM,Exeter City,36,1988,1.2,,Midfielder,0,0,0,0,0.00,0.00,9.2,16,830,1,11,1,3
Sonny Carey,ENG,Blackpool,23,2001,4.4,,Midfielder,0,7,1,14.3,1.59,0.23,4.8,8,428,0,6,1,8
Baily Cargill,ENG,Mansfield Town,29,1995,8.0,,Defender,0,3,0,0.0,0.37,0.00,9.2,12,829,0,9,14,11
James Carragher,ENG,Wigan Athletic,22,2002,7.0,,Defender,0,1,0,0.0,0.14,0.00,10.0,15,903,0,10,12,4
Oliver Casey,ENG,Blackpool,24,2000,15.0,,Defender,1,9,4,44.4,0.60,0.27,8.0,10,721,0,1,28,29
Leo Castledine,ENG,Shrewsbury,19,2005,9.5,,Midfielder,2,30,7,23.3,3.15,0.74,9.7,15,874,1,9,5,8
Joel Castro Pereira,POR,Reading,28,1996,10.0,,Goalkeeper,0,0,0,0,0.00,0.00,1.2,6,106,0,0,0,0
Luke Chambers,ENG,Wigan Athletic,20,2004,9.5,,Defender,1,2,1,50.0,0.21,0.11,4.4,11,397,0,47,8,4
Jacob Chapman,AUS,Huddersfield,24,2000,9.0,,Goalkeeper,0,0,0,0,0.00,0.00,8.0,10,720,0,0,0,0
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,90s,MP,Min,Off,Crs,Int,TklW
Dion Charles,NIR,Bolton,29,1995,10.9,,Forward,6,39,18,46.2,3.58,1.65,7.0,12,631,8,4,1,12
Kgagelo Chauke,ENG,Burton Albion,21,2003,8.9,,Midfielder,0,4,2,50.0,0.45,0.23,15.0,15,1350,0,5,12,18
Samy Chouchane,TUN,Northampton,21,2003,9.3,,Midfielder,0,4,2,50.0,0.43,0.21,9.5,13,857,1,29,14,16
Sean Clare,ENG,Leyton Orient,28,1996,8.2,Defender,Midfielder,1,5,1,20.0,0.61,0.12,10.0,10,900,0,7,17,16
Jonson Clarke-Harris,JAM,Rotherham Utd,30,1994,8.9,Midfielder,Forward,4,22,10,45.5,2.46,1.12,0,0,0,10,7,2,5
Max Cleworth,WAL,Wrexham,22,2002,13.0,,Defender,4,12,4,33.3,0.93,0.31,9.5,10,855,1,4,11,12
Alex Cochrane,ENG,Birmingham City,24,2000,15.0,,Defender,0,9,0,0.0,0.60,0.00,9.0,9,810,0,90,9,11
Josh Cogley,ENG,Bolton,28,1996,14.6,Defender,Midfielder,0,3,0,0.0,0.21,0.00,0,0,0,3,31,17,18
Reece Cole,ENG,Exeter City,26,1998,3.2,,Midfielder,1,11,5,45.5,3.44,1.56,10.9,16,980,0,34,0,2
Will Collar,ENG,Stockport,27,1997,10.9,Forward,Midfielder,2,17,9,52.9,1.55,0.82,8.9,12,798,4,12,4,15
Aaron Collins,WAL,Bolton,27,1997,10.6,Forward,Midfielder,3,25,9,36.0,2.37,0.85,9.3,14,840,8,34,1,4
Archie Collins,ENG,P'borough Utd,25,1999,14.7,,Midfielder,0,10,4,40.0,0.68,0.27,0,0,0,0,6,23,23
Chris Conn-Clarke,NIR,P'borough Utd,23,2001,1.8,Forward,Midfielder,0,9,3,33.3,5.13,1.71,8.2,10,735,0,6,0,1
Luca Connell,IRL,Barnsley,23,2001,15.4,,Midfielder,2,29,5,17.2,1.89,0.33,8.9,12,804,0,87,18,22
Callum Connolly,ENG,Stockport,27,1997,9.7,Midfielder,Defender,0,8,3,37.5,0.82,0.31,13.0,13,1167,0,13,5,11
Kamil Conteh,SLE,Bristol Rovers,21,2002,14.9,,Midfielder,0,8,3,37.5,0.54,0.20,15.0,15,1350,0,5,26,27
Brandon Cooper,WAL,Leyton Orient,24,2000,5.6,,Defender,0,9,5,55.6,1.61,0.89,14.6,16,1315,0,1,9,7
Jack Cooper Love,SWE,Burton Albion,22,2001,7.6,Forward,Midfielder,2,9,3,33.3,1.18,0.39,3.2,6,288,0,2,2,7
Murphy Cooper,ENG,Stevenage,22,2001,14.0,,Goalkeeper,0,0,0,0,0.00,0.00,10.9,12,984,0,0,0,0
Sam Cosgrove,ENG,Barnsley,27,1996,8.2,,Forward,1,21,6,28.6,2.55,0.73,10.6,16,951,8,2,0,0
Barry Cotter,IRL,Barnsley,25,1998,8.3,Defender,Midfielder,0,9,3,33.3,1.08,0.36,14.7,15,1323,3,27,11,13
Hayden Coulson,ENG,Blackpool,26,1998,10.1,Midfielder,Defender,0,5,0,0.0,0.50,0.00,1.8,6,158,2,15,15,19
Jordan Cousins,ENG,Cambridge Utd,30,1994,4.3,,Midfielder,1,3,1,33.3,0.70,0.23,15.4,16,1383,0,1,3,8
Conor Coventry,IRL,Charlton Ath,24,2000,14.6,,Midfielder,1,16,5,31.3,1.10,0.34,9.7,13,875,0,76,25,33
Sonny Cox,ENG,Exeter City,20,2004,3.0,,Forward,0,3,1,33.3,1.01,0.34,14.9,16,1337,1,2,0,1
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,90s,MP,Min,Off,Crs,Int,TklW
Matthew Craig,SCO,Barnsley,21,2003,8.4,,Midfielder,0,2,0,0.0,0.24,0.00,5.6,11,504,0,3,12,17
Michael Craig,SCO,Reading,21,2003,15.3,,Defender,1,7,1,14.3,0.46,0.07,7.6,13,685,0,29,15,16
Tristan Crama,FRA,Exeter City,23,2001,15.0,,Defender,2,11,2,18.2,0.73,0.13,14.0,14,1260,0,2,18,10
Max Crocombe,NZL,Burton Albion,31,1993,13.0,,Goalkeeper,0,0,0,0,0.00,0.00,8.2,12,740,0,0,0,0
Jack Currie,ENG,Leyton Orient,22,2002,12.0,,Defender,0,2,0,0.0,0.17,0.00,8.3,11,748,0,38,17,26
Sam Curtis,IRL,P'borough Utd,18,2005,8.5,,Defender,0,1,0,0.0,0.12,0.00,10.1,14,906,2,24,9,17
Sam Dalby,ENG,Wrexham,24,2000,0.2,,Forward,0,0,0,0,0.00,0.00,4.3,8,388,0,0,0,0
Ronan Darcy,ENG,Crawley Town,24,2000,15.9,Forward,Midfielder,1,41,12,29.3,2.58,0.76,14.6,15,1312,4,41,4,3
Tendayi Darikwa,ZIM,Lincoln City,32,1991,16.9,Defender,Midfielder,3,15,6,40.0,0.89,0.36,3.0,11,267,0,28,22,23
Ben Davies,ENG,Birmingham City,29,1995,5.5,,Defender,0,0,0,0,0.00,0.00,8.4,13,758,0,0,5,5
Cameron Dawson,ENG,Rotherham Utd,29,1995,8.0,,Goalkeeper,0,0,0,0,0.00,0.00,15.3,16,1377,0,0,0,0
Jón Daði Böðvarsson,ISL,Wrexham,32,1992,1.0,,Forward,0,2,0,0.0,2.00,0.00,15.0,15,1350,0,1,0,1
Ryan De Havilland,ENG,P'borough Utd,23,2001,5.0,,Midfielder,1,4,2,50.0,0.80,0.40,0,0,0,0,0,6,4
Harlee Dean,ENG,Reading,33,1991,0.9,Midfielder,Defender,0,1,1,100.0,1.06,1.06,13.0,13,1170,0,1,0,1
Siriki Dembélé,CIV,Birmingham City,28,1996,0.5,,Midfielder,0,1,0,0.0,2.00,0.00,12.0,12,1080,0,1,0,0
Kyle Dempsey,ENG,Bolton,29,1995,6.0,,Midfielder,3,15,4,26.7,2.50,0.67,8.5,14,762,1,15,9,2
Jack Diamond,ENG,Stockport,24,2000,6.8,,Midfielder,1,13,6,46.2,1.90,0.88,0,0,0,0,26,2,5
Matt Dibley-Dias,NZL,Northampton,20,2004,0.6,,Midfielder,0,1,0,0.0,1.61,0.00,0.2,1,15,0,1,1,0
Paul Digby,ENG,Cambridge Utd,29,1995,11.4,Defender,Midfielder,0,3,0,0.0,0.26,0.00,15.9,17,1428,0,3,9,12
Kaheim Dixon,JAM,Charlton Ath,20,2004,0.0,,Forward,0,0,0,0,0.00,0.00,16.9,17,1518,0,0,0,0
George Dobson,ENG,Wrexham,27,1997,16.9,,Midfielder,0,4,0,0.0,0.24,0.00,5.5,7,498,0,8,25,28
Neo Dobson,,Northampton,0,0,0.2,,Forward,0,0,0,0,0.00,0.00,8.0,8,720,0,0,0,0
Greg Docherty,SCO,Charlton Ath,28,1996,10.6,,Midfielder,1,11,5,45.5,1.04,0.47,1.0,3,90,1,11,5,11
Jamie Donley,ENG,Leyton Orient,19,2005,5.1,Forward,Midfielder,0,6,0,0.0,1.18,0.00,5.0,7,449,2,22,1,1
Romelle Donovan,ENG,Burton Albion,17,2006,2.0,,Midfielder,0,5,0,0.0,2.50,0.00,0.9,7,85,0,5,0,4
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,90s,MP,Min,Off,Crs,Int,TklW
James Dornelly,ENG,P'borough Utd,19,2005,6.4,,Defender,1,2,1,50.0,0.31,0.16,0,0,0,3,8,4,4
Jeriel Dorsett,MSR,Reading,22,2002,6.4,,Defender,0,4,2,50.0,0.62,0.31,0.5,1,45,0,10,6,6
Kamari Doyle,ENG,Exeter City,19,2005,7.1,Forward,Midfielder,3,13,8,61.5,1.83,1.12,6.0,10,540,1,48,5,10
Freddie Draper,ENG,Lincoln City,20,2004,5.2,,Forward,2,6,3,50.0,1.15,0.57,0,0,0,3,2,3,4
Dylan Duffy,IRL,Lincoln City,21,2002,2.9,,Midfielder,0,2,0,0.0,0.70,0.00,6.8,12,616,1,13,3,4
Paul Dummett,WAL,Wigan Athletic,33,1991,0.1,,Defender,0,0,0,0,0.00,0.00,0.6,1,56,0,0,0,0
Lyndon Dykes,SCO,Birmingham City,29,1995,4.0,Midfielder,Forward,0,12,3,25.0,3.01,0.75,11.4,12,1025,0,2,0,3
Josh Earl,ENG,Barnsley,26,1998,16.0,,Defender,1,12,5,41.7,0.75,0.31,0.0,1,1,1,16,22,21
Tom Eaves,ENG,Northampton,32,1992,3.8,,Forward,2,11,5,45.5,2.93,1.33,16.9,17,1524,0,2,0,1
Rarmani Edmonds-Green,ENG,Charlton Ath,25,1999,5.2,,Defender,1,2,1,50.0,0.39,0.19,0.2,1,20,0,8,12,9
Joshua Edwards,ENG,Charlton Ath,24,2000,9.6,Midfielder,Defender,0,2,1,50.0,0.21,0.10,10.6,14,953,0,66,10,16
Kelvin Ehibhatiomhan,ENG,Reading,21,2003,10.2,,Forward,2,18,7,38.9,1.77,0.69,0,0,0,5,17,2,9
Ben Elliott,CMR,Reading,22,2002,13.7,,Midfielder,2,20,6,30.0,1.46,0.44,5.1,9,458,0,4,5,22
Elliot Embleton,ENG,Blackpool,25,1999,5.3,,Midfielder,0,12,1,8.3,2.25,0.19,2.0,6,180,1,32,0,5
Ethan Erhahon,SCO,Lincoln City,23,2001,13.6,,Midfielder,0,1,0,0.0,0.07,0.00,6.4,9,575,0,4,32,18
Antony Evans,ENG,Huddersfield,26,1998,7.3,,Midfielder,2,19,6,31.6,2.61,0.82,6.4,9,577,1,37,7,13
George Evans,ENG,Wrexham,29,1994,1.2,,Midfielder,0,0,0,0,0.00,0.00,7.1,14,641,0,0,0,0
Lee Evans,WAL,Blackpool,30,1994,16.0,,Midfielder,2,24,4,16.7,1.50,0.25,5.2,14,471,0,121,13,20
Will Evans,WAL,Mansfield Town,27,1997,13.4,,Forward,5,32,13,40.6,2.39,0.97,2.9,4,258,7,10,7,17
Timothy Eyoma,ENG,Northampton,24,2000,2.6,,Defender,0,0,0,0,0.00,0.00,0.1,1,8,0,1,2,2
Mo Faal,ENG,Wrexham,21,2003,0.4,,Forward,0,1,0,0.0,2.81,0.00,4.0,12,359,0,0,0,1
Josh Feeney,ENG,Shrewsbury,19,2005,8.3,,Defender,1,3,1,33.3,0.36,0.12,16.0,16,1440,0,0,16,5
Morgan Feeney,ENG,Shrewsbury,25,1999,11.3,,Defender,0,8,2,25.0,0.71,0.18,3.8,8,338,0,6,16,10
Emmanuel Fernandez,ENG,P'borough Utd,23,2001,14.1,,Defender,4,13,5,38.5,0.92,0.35,5.2,6,467,1,1,14,12
Jayden Fevrier,ENG,Stockport,21,2003,5.2,,Midfielder,1,14,5,35.7,2.72,0.97,0,0,0,1,16,2,1
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,90s,MP,Min,Off,Crs,Int,TklW
Ryan Finnigan,ENG,Blackpool,21,2003,2.1,,Midfielder,0,4,1,25.0,1.91,0.48,9.6,11,866,0,1,3,7
Lewis Fiorini,SCO,Stockport,22,2002,3.1,,Midfielder,0,5,1,20.0,1.61,0.32,10.2,12,914,2,17,2,3
Sonny Fish,ENG,Crawley Town,20,2004,0.2,,Forward,0,0,0,0,0.00,0.00,13.7,16,1231,0,0,0,0
Jack Fitzwater,ENG,Exeter City,27,1997,1.1,,Defender,0,0,0,0,0.00,0.00,5.3,15,481,0,1,1,1
Ashley Fletcher,ENG,Blackpool,29,1995,5.5,,Forward,1,18,7,38.9,3.26,1.27,13.6,15,1228,3,2,3,4
Steven Fletcher,SCO,Wrexham,37,1987,3.3,,Forward,1,10,5,50.0,3.04,1.52,7.3,12,655,2,0,1,3
Scott Flinders,ENG,Mansfield Town,38,1986,0.7,,Goalkeeper,0,0,0,0,0.00,0.00,1.2,5,107,0,0,0,0
Aden Flint,ENG,Mansfield Town,35,1989,6.2,,Defender,0,4,2,50.0,0.65,0.32,16.0,16,1440,2,0,7,4
Josh Flint,ENG,Crawley Town,24,2000,11.1,,Defender,0,14,2,14.3,1.26,0.18,13.4,15,1206,0,10,15,16
Michael Forbes,NIR,Bristol Rovers,20,2004,0.6,,Defender,0,0,0,0,0.00,0.00,2.6,4,237,0,0,3,0
Shaqai Forde,ENG,Bristol Rovers,20,2004,7.2,,Midfielder,2,10,6,60.0,1.38,0.83,0.4,3,32,5,24,1,9
William Forrester,ENG,Bolton,23,2001,1.9,,Defender,0,1,0,0.0,0.52,0.00,8.3,10,746,0,2,5,3
Harry Forster,ENG,Crawley Town,24,2000,7.0,Defender,Midfielder,1,7,3,42.9,1.00,0.43,11.3,12,1016,5,29,7,9
Tariqe Fosu,GHA,Northampton,29,1995,7.9,,Midfielder,3,15,8,53.3,1.90,1.01,14.1,15,1269,4,19,6,14
Ben Fox,ENG,Northampton,26,1998,7.7,,Midfielder,0,5,3,60.0,0.65,0.39,5.2,14,464,0,5,8,9
Ed Francis,ENG,Exeter City,25,1999,11.5,,Midfielder,2,10,2,20.0,0.87,0.17,2.1,6,188,0,41,20,12
