player,nation_stats_standard,squad,age_stats_standard,position_stats_standard,playing_time_min_stats_playing_time,playing_time_90s,total_cmp%_stats_passing_per_90,ast_stats_passing_per_90,ppa_stats_passing_per_90,standard_gls_stats_shooting_per_90,standard_sot%_stats_shooting_per_90,sca_sca_stats_gca_per_90,gca_gca_stats_gca_per_90,touches_mid_3rd_stats_possession_per_90,touches_att_3rd_stats_possession_per_90,take_ons_succ_stats_possession_per_90,carries_prgc_stats_possession_per_90,receiving_prgr_stats_possession_per_90,tackles_mid_3rd_stats_defense_per_90,aerial_duels_won%_stats_misc_per_90,performance_crs_stats_misc_per_90,tackles_tkl_stats_defense_per_90,int_stats_defense_per_90,performance_recov_stats_misc_per_90,value
Josh Maja,NGA,West Brom,25,Forward,1119.0,12.433333333333334,6.353887399463807,0.1608579088471849,0.5630026809651475,0.8042895442359249,3.353887399463807,2.6541554959785523,0.3217158176943699,20.750670241286866,13.83378016085791,1.126005361930295,0.8847184986595175,5.14745308310992,0.6434316353887399,2.7426273458445043,0.2412868632707774,0.7238605898123325,0.8042895442359249,3.619302949061662,3200000.0
Benson Manuel,ANG,Burnley,27,Midfielder,1450.0,16.11111111111111,4.878620689655172,0.0,0.0,0.0,0.0,0.1241379310344827,0.0,0.2482758620689655,0.7448275862068966,0.0,0.1862068965517241,0.496551724137931,0.0,0.0,0.2482758620689655,0.0,0.0,0.0,5000000.0
Ephron Mason-Clark,ENG,Coventry City,25,Forward,794.0,8.822222222222223,7.991183879093199,0.1133501259445843,1.1335012594458438,0.2267002518891687,4.318639798488665,2.8337531486146093,0.2267002518891687,11.561712846347609,18.58942065491184,0.906801007556675,4.080604534005038,8.387909319899244,0.6801007556675063,5.100755667506297,3.400503778337532,1.5869017632241813,0.7934508816120907,2.4937027707808563,4500000.0
Alistair McCann,NIR,Preston,25,Midfielder,701.0,7.788888888888889,10.476462196861624,0.0,0.5135520684736091,0.1283880171184022,1.4251069900142652,2.4393723252496438,0.0,48.65905848787447,19.514978601997147,0.6419400855920114,0.8987161198288159,3.594864479315264,2.9529243937232525,5.405135520684737,1.5406562054208277,6.804564907275321,1.155492154065621,7.831669044222539,0.0
George McCormick,ENG,Middlesbrough,19,Forward,1710.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus McGuane,ENG,Bristol City,25,Midfielder,1147.0,12.744444444444444,6.787271142109852,0.0,0.07846556233653,0.0,0.0,0.4707933740191805,0.0,15.693112467306015,4.472537053182215,0.5492589363557105,0.7061900610287708,0.7846556233653008,0.5492589363557105,3.923278116826504,0.1569311246730601,1.4123801220575416,0.1569311246730601,2.6678291194420227,500000.0
Kenny McLean,SCO,Norwich City,32,Midfielder,1620.0,18.0,4.944444444444445,0.1666666666666666,0.5,0.0,1.1111111111111112,1.5555555555555556,0.3888888888888889,42.05555555555556,6.277777777777778,0.1666666666666666,1.3333333333333333,0.3888888888888889,1.4444444444444444,2.6444444444444444,0.7777777777777778,2.4444444444444446,0.6666666666666666,4.333333333333333,900000.0
Yakou Méïte,CIV,Cardiff City,28,Forward,744.0,8.266666666666667,7.076612903225806,0.0,0.2419354838709677,0.1209677419354838,2.685483870967741,1.3306451612903225,0.0,8.104838709677418,10.64516129032258,0.9677419354838708,1.3306451612903225,4.596774193548387,0.846774193548387,5.370967741935483,1.0887096774193548,1.4516129032258065,0.2419354838709677,2.177419354838709,0.0
Hannibal Mejbri,TUN,Burnley,21,Midfielder,1560.0,17.333333333333332,4.448076923076923,0.0,0.2307692307692307,0.0,0.7211538461538463,1.2692307692307694,0.0576923076923076,12.75,8.01923076923077,0.8653846153846154,1.0384615384615383,1.7884615384615383,0.2307692307692307,2.307692307692308,0.8653846153846154,0.6346153846153847,0.1730769230769231,1.8461538461538465,0.0
Nathaniel Mendez-Laing,GUA,Derby County,32,Forward,443.0,4.922222222222223,13.367945823927764,0.6094808126410834,5.079006772009029,0.4063205417607223,3.9006772009029342,11.376975169300223,1.015801354401806,57.494356659142206,59.52595936794582,2.641083521444695,6.907449209932279,17.878103837471784,2.234762979683973,10.158013544018058,20.316027088036115,5.688487584650113,3.656884875846501,10.970654627539504,0.0
